ID,Date,Time,Type,Name,Elapsed Time,Moving Time,Distance,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
1091881434,2017-07-19,17:10:09,Ride,Evening Ride,3153,1452.0,4.57,,21.722318649291992,22.42230033874512,183.0,195.1000061035156,11.5,-0.0153035568073391
1092935975,2017-07-20,06:41:38,Ride,Lhota (L),30311,8295.0,36.46,,271.4392395019531,271.239013671875,170.60000610351562,205.1000061035156,43.59999847412109,0.0005484696594066
1094421963,2017-07-21,07:19:41,Ride,Morning Ride,26113,7362.0,29.70,,283.1138000488281,241.61399841308597,182.0,288.3999938964844,46.20000076293945,0.1397122889757156
1094585230,2017-07-21,15:17:58,Ride,Afternoon Ride,4877,4605.0,26.29,,120.53512573242188,105.63500213623048,160.1999969482422,190.1999969482422,18.299999237060547,0.0566673502326011
1097760262,2017-07-23,09:07:34,Ride,Lunch Ride,19565,10674.0,47.61,,838.1179809570312,800.5180053710938,275.0,492.8999938964844,48.900001525878906,0.0789663791656494
1098022628,2017-07-23,15:10:34,Ride,Afternoon Ride,5578,5036.0,27.04,,138.30209350585938,234.9019927978516,180.10000610351562,289.0,20.0,-0.3572379648685455
1100876441,2017-07-25,08:31:31,Ride,Morning Ride,25966,17348.0,78.22,,1346.429443359375,1285.3299560546875,184.8999938964844,608.2000122070312,49.20000076293945,0.0781094208359718
1102231925,2017-07-26,10:55:38,Ride,Lunch Ride,2872,2595.0,13.83,,67.32688903808594,67.52690124511719,170.60000610351562,192.8999938964844,32.20000076293945,-0.0014452328905463
1107090485,2017-07-29,09:12:54,Ride,Lunch Ride,18443,11680.0,41.98,,706.0610961914062,725.4609985351562,715.7999877929688,1010.7999877929688,34.79999923706055,-0.0462063178420066
1114899708,2017-08-03,06:03:46,Ride,Morning Ride,2778,2757.0,15.75,,110.29148864746094,119.59100341796876,170.60000610351562,205.3000030517578,17.299999237060547,-0.0590187646448612
1115264191,2017-08-03,11:37:00,Ride,Afternoon Ride,3936,3606.0,16.07,,110.05168914794922,100.052001953125,168.0,196.3000030517578,49.20000076293945,0.0622180737555027
1116622013,2017-08-04,09:56:36,Run,Run 001,959,935.0,2.32,,34.26185989379883,32.16189956665039,169.60000610351562,185.3999938964844,23.0,0.0903497859835624
1118315030,2017-08-05,08:29:21,Ride,Morning Ride,16654,11110.0,45.81,,416.74505615234375,417.3450012207031,154.0,244.6999969482422,46.09999847412109,-0.0013097033370286
1119618617,2017-08-06,08:52:26,Run,Run 002,959,925.0,2.26,,25.506502151489254,23.206499099731445,173.0,189.1000061035156,12.899999618530272,0.1016215234994888
1123317656,2017-08-08,08:23:44,Ride,Morning Ride,18314,14182.0,70.93,,736.0859375,836.4860229492188,183.5,493.1000061035156,46.09999847412109,-0.1415350288152694
1125101974,2017-08-09,14:52:52,Run,Afternoon Run,376,286.0,0.78,,3.338461637496948,4.438459873199463,183.6999969482422,187.3999938964844,5.5,-0.1397180259227752
1127215505,2017-08-10,19:36:05,Run,Run 003,718,718.0,1.68,,9.783516883850098,11.783519744873049,182.8999938964844,190.8999938964844,12.399999618530272,-0.1186943650245666
1127979446,2017-08-11,10:15:17,Run,Run 004,1056,1048.0,2.47,,14.90086269378662,14.700900077819824,183.0,191.6000061035156,15.0,0.0080981496721506
1131534741,2017-08-13,12:20:21,Ride,Afternoon Ride,5417,5042.0,28.09,,169.67420959472656,169.87399291992188,170.60000610351562,203.0,30.299999237060547,-0.0007118881912901
1133653525,2017-08-14,18:44:51,Run,Run 005,905,900.0,2.00,,10.15402889251709,11.854000091552734,180.10000610351562,189.3999938964844,7.0,-0.0848345756530761
1134783882,2017-08-15,07:06:51,Ride,Morning Ride,22346,14362.0,78.82,,551.5997314453125,549.2999877929688,159.10000610351562,281.0,47.20000076293945,0.0029180189594626
1138804844,2017-08-17,19:50:19,Run,Run 006,900,900.0,2.08,,15.9652681350708,18.66530036926269,179.0,189.1999969482422,10.699999809265137,-0.1296394169330597
1140037072,2017-08-18,08:36:05,Ride,Morning Ride,32886,23110.0,105.90,,733.7509765625,742.2509765625,182.0,288.3999938964844,37.79999923706055,-0.0080260084941983
1141180809,2017-08-19,08:00:20,Run,Morning Run,11823,10242.0,15.11,,762.4168090820312,533.5170288085938,127.9000015258789,390.3999938964844,49.0,1.5147705078125
1144374305,2017-08-21,06:43:36,Ride,Morning Ride,10842,4206.0,20.28,,115.5490493774414,115.14900207519533,168.0,193.0,29.700000762939453,0.0019717253744602
1151479098,2017-08-25,09:20:03,Ride,Lunch Ride,23016,14139.0,71.55,,598.6812744140625,598.5809936523438,144.3000030517578,185.0,17.600000381469727,0.0001397626037942
1153274863,2017-08-26,07:02:22,Ride,Morning Ride,33604,18121.0,82.23,,923.0678100585938,922.968017578125,154.0,370.7000122070313,44.29999923706055,0.0001216064192703
1160434493,2017-08-30,20:23:54,Run,Run 007,1979,1975.0,4.69,,34.86769104003906,34.867698669433594,171.0,191.0,10.899999618530272,0.0
1163339334,2017-09-01,19:17:37,Run,Run 008,1469,1469.0,3.58,,30.33150100708008,27.5314998626709,171.0,191.1000061035156,13.199999809265137,0.0781446248292923
1167770502,2017-09-04,11:14:59,Ride,Afternoon Ride,9171,5298.0,24.53,,168.49644470214844,169.79600524902344,168.0,235.8999938964844,25.600000381469727,-0.0052980566397309
1169897758,2017-09-05,17:22:12,Run,Evening Run,3981,3383.0,9.12,,185.42730712890625,186.927001953125,208.0,282.0,43.29999923706055,-0.0164383556693792
